,Age_AtReg,Disability,Gender,CitizenStatus,EducationLevel,Race_Hispanic,Race_NativeAmerican,Race_Asian,Race_AfricanAmerican,Race_PacificIslander,Race_White,Employed
174,64,0,2,1,20,0,0,0,1,0,0,0
175,43,0,1,1,15,0,0,0,1,0,0,0
176,43,0,1,1,17,0,0,0,1,0,0,0
177,43,0,1,1,17,0,0,0,1,0,0,0
178,38,0,1,1,9,0,0,0,1,0,0,0
179,39,0,1,1,13,0,0,0,1,0,0,1
180,39,0,1,1,13,0,0,0,1,0,0,1
181,39,0,1,1,13,0,0,0,1,0,0,0
182,39,0,1,1,13,0,0,0,1,0,0,0
183,39,0,1,1,13,0,0,0,1,0,0,0
184,64,0,2,1,16,0,0,0,1,0,0,0
185,66,0,2,1,16,0,0,0,1,0,0,0
186,66,0,2,1,16,0,0,0,1,0,0,0
187,66,0,2,1,16,0,0,0,1,0,0,0
188,65,0,2,1,16,0,0,0,1,0,0,0
189,50,0,2,1,13,0,0,0,1,0,0,0
190,50,0,2,1,13,0,0,0,1,0,0,0
191,29,0,2,1,13,0,0,0,1,0,0,0
192,48,1,1,1,14,0,0,0,1,0,0,0
193,31,0,1,1,20,0,0,0,1,0,0,0
194,58,0,1,1,17,0,0,0,1,0,0,1
195,58,0,1,1,17,0,0,0,1,0,0,1
196,51,0,2,1,15,0,0,0,1,0,0,0
197,51,0,2,1,15,0,0,0,1,0,0,0
198,49,1,2,1,18,0,0,0,1,0,0,0
199,48,0,1,1,14,0,0,0,1,0,0,0
200,48,0,1,1,14,0,0,0,1,0,0,0
201,48,0,1,1,14,0,0,0,1,0,0,0
202,46,0,2,1,10,0,0,0,1,0,0,0
203,46,0,2,1,10,0,0,0,1,0,0,0
204,44,0,1,1,15,0,0,0,1,0,0,0
205,51,0,2,1,14,0,0,0,1,0,0,0
206,46,0,1,1,16,0,0,0,1,0,0,1
207,52,0,2,1,20,0,0,0,1,0,0,1
208,52,0,2,1,20,0,0,0,1,0,0,1
209,33,0,2,1,13,0,0,0,1,0,0,0
210,33,0,2,1,13,0,0,0,1,0,0,1
211,66,1,1,1,21,0,0,0,1,0,0,0
212,66,1,1,1,21,0,0,0,1,0,0,0
213,66,1,1,1,21,0,0,0,1,0,0,0
214,66,1,1,1,21,0,0,0,1,0,0,1
215,29,1,1,1,13,0,0,0,1,0,0,1
216,31,0,1,1,17,0,0,0,1,0,0,1
217,49,0,2,1,14,0,0,0,1,0,0,1
218,49,0,2,1,14,0,0,0,1,0,0,1
219,49,0,2,1,15,0,0,0,1,0,0,0
220,49,0,2,1,15,0,0,0,1,0,0,0
221,36,0,2,1,14,0,1,0,1,0,0,1
222,57,0,2,1,15,0,0,0,1,0,0,0
223,55,0,1,1,18,0,0,0,1,0,0,0
224,56,0,1,1,18,0,0,0,1,0,0,0
225,56,0,1,1,18,0,0,0,1,0,0,0
226,55,0,1,1,18,0,0,0,1,0,0,0
227,47,0,1,1,21,0,0,0,1,0,0,0
228,36,1,2,1,20,0,0,0,1,0,0,0
229,49,0,1,1,14,0,0,0,1,0,0,0
230,32,0,1,1,14,0,0,0,1,0,0,0
231,59,0,2,1,16,0,0,0,1,0,0,1
232,32,0,1,1,19,0,0,0,1,0,0,0
233,32,0,1,1,19,0,0,0,1,0,0,0
234,35,0,1,1,14,0,0,0,1,0,0,1
235,35,0,1,1,14,0,0,0,1,0,0,1
236,32,0,1,1,13,0,0,0,1,0,0,0
237,32,0,1,1,13,0,0,0,1,0,0,1
238,32,0,1,1,13,0,0,0,1,0,0,1
239,45,0,1,1,14,0,0,0,1,0,0,0
240,45,0,1,1,14,0,0,0,1,0,0,0
241,30,0,2,1,19,0,0,0,1,0,0,1
242,30,0,2,1,19,0,0,0,1,0,0,1
243,64,0,1,1,16,0,0,0,1,0,0,1
244,64,0,1,1,16,0,0,0,1,0,0,1
245,44,0,2,1,14,0,0,0,1,0,0,0
246,29,0,2,1,17,0,0,0,1,0,0,0
247,29,0,2,1,17,0,0,0,1,0,0,1
248,29,0,2,1,17,0,0,0,1,0,0,1
249,49,0,1,1,10,0,0,0,1,0,0,0
250,49,0,1,1,10,0,0,0,1,0,0,0
251,32,0,1,1,16,0,0,0,1,0,0,0
252,37,0,2,1,20,0,0,0,1,0,0,1
253,38,0,2,1,14,0,0,0,1,0,0,0
254,17,0,1,1,7,0,0,0,1,0,0,0
255,38,0,1,1,14,0,0,0,1,0,0,0
256,38,0,1,1,14,0,0,0,1,0,0,0
257,38,0,1,1,14,0,0,0,1,0,0,0
258,33,0,2,1,20,0,0,0,1,0,0,0
259,27,0,2,1,17,0,0,0,1,0,0,0
260,64,0,1,1,19,0,0,0,1,0,0,0
261,43,0,1,1,20,0,0,0,1,0,0,0
262,43,0,1,1,20,0,0,0,1,0,0,0
263,25,0,1,1,14,0,0,0,1,0,0,0
264,28,0,1,1,13,0,0,0,1,0,0,0
265,28,0,1,1,13,0,0,0,1,0,0,0
266,46,0,2,1,18,0,0,0,1,0,0,0
267,46,0,2,1,18,0,0,0,1,0,0,0
268,46,0,2,1,18,0,0,0,1,0,0,0
269,32,0,1,1,14,0,0,0,1,0,0,0
270,32,0,1,1,14,0,0,0,1,0,0,0
271,56,0,1,1,14,0,0,0,1,0,0,0
272,56,0,1,1,14,0,0,0,1,0,0,0
273,56,0,1,1,14,0,0,0,1,0,0,0
274,25,0,2,1,14,0,0,0,1,0,0,0
275,65,0,2,1,20,0,0,0,0,0,0,0
276,58,0,2,1,20,0,0,0,0,0,0,1
277,28,0,2,1,15,0,0,0,1,0,0,0
278,32,0,2,1,14,0,0,0,1,0,0,0
279,36,0,2,1,14,0,0,0,1,0,0,0
280,36,0,2,1,14,0,0,0,1,0,0,0
281,36,0,2,1,14,0,0,0,1,0,0,1
282,36,0,2,1,14,0,0,0,1,0,0,1
283,36,0,2,1,14,0,0,0,1,0,0,1
284,48,0,2,1,16,0,0,0,1,0,0,0
285,50,0,2,1,16,0,0,0,1,0,0,0
286,36,1,2,1,15,0,0,0,1,0,0,1
287,36,1,2,1,15,0,0,0,1,0,0,1
288,29,0,2,1,14,0,0,0,1,0,0,0
289,49,0,1,1,10,0,0,0,1,0,0,0
290,30,0,1,1,16,0,0,0,1,0,0,0
291,30,0,1,1,16,0,0,0,1,0,0,0
292,42,0,1,1,14,0,0,0,1,0,0,0
293,31,0,1,1,14,0,0,0,1,0,0,0
294,30,0,1,1,11,0,0,0,1,0,0,0
295,55,0,2,1,11,0,0,0,1,0,0,0
296,39,0,2,1,14,0,0,0,1,0,0,0
297,40,0,2,1,14,0,0,0,1,0,0,0
298,40,0,2,1,14,0,0,0,1,0,0,0
299,40,0,2,1,14,0,0,0,1,0,0,0
300,40,0,1,1,14,0,0,0,1,0,0,0
301,39,0,1,1,14,0,0,0,1,0,0,0
302,39,0,1,1,14,0,0,0,1,0,0,0
303,39,0,1,1,14,0,0,0,1,0,0,0
304,41,0,1,1,14,0,0,0,1,0,0,0
305,39,0,2,1,14,0,0,0,1,0,0,0
306,48,0,2,1,18,0,0,0,1,0,0,0
307,48,0,2,1,18,0,0,0,1,0,0,0
308,48,0,2,1,18,0,0,0,1,0,0,0
309,33,0,2,1,14,0,0,0,1,0,0,0
310,33,0,1,1,14,0,0,0,1,0,0,0
311,33,0,1,1,14,0,0,0,1,0,0,0
312,52,1,1,1,14,0,0,0,1,0,0,1
313,51,0,1,1,14,0,0,0,1,0,0,1
314,51,0,1,1,14,0,0,0,1,0,0,1
315,43,0,2,1,15,0,0,0,1,0,0,0
316,50,0,2,1,18,0,1,0,0,0,0,0
317,31,0,1,1,13,0,0,0,1,0,0,0
